stateid,state,state_abbr,state_post,level,control,schools_count,counted_pct,awards_per_state_value,awards_per_natl_value,exp_award_state_value,exp_award_natl_value,state_appr_value,state_appr_rank,grad_rate_rank,awards_per_rank
0,United States,US,U.S.,4-year,Public,632,NULL,NULL,21.5,NULL,66436,NULL,NULL,23,NULL
0,United States,US,U.S.,4-year,Private not-for-profit,1180,NULL,NULL,22.5,NULL,101725,NULL,NULL,18,NULL
0,United States,US,U.S.,4-year,Private for-profit,527,NULL,NULL,24.6,NULL,38763,NULL,NULL,8,NULL
0,United States,US,U.S.,2-year,Public,926,NULL,NULL,16.5,NULL,37780,NULL,NULL,25,NULL
0,United States,US,U.S.,2-year,Private not-for-profit,68,NULL,NULL,25.9,NULL,34510,NULL,NULL,12,NULL
0,United States,US,U.S.,2-year,Private for-profit,465,NULL,NULL,32.8,NULL,24795,NULL,NULL,19,NULL
1,Alabama,AL,Ala.,4-year,Public,13,61,18.8,21.5,75743,66436,290.68,11,38,42
1,Alabama,AL,Ala.,4-year,Private not-for-profit,16,62,17.8,22.5,92268,101725,290.68,11,47,49
1,Alabama,AL,Ala.,4-year,Private for-profit,9,37.8,29.1,24.6,17406,38763,290.68,11,26,9
1,Alabama,AL,Ala.,2-year,Public,25,49,15.9,16.5,42194,37780,290.68,11,35,39
1,Alabama,AL,Ala.,2-year,Private not-for-profit,1,NULL,17.1,25.9,16852,34510,290.68,11,8,19
1,Alabama,AL,Ala.,2-year,Private for-profit,5,79.6,3.2,32.8,24274,24795,290.68,11,38,40
2,Alaska,AK,Alaska,4-year,Public,3,51.7,16.3,21.5,103823,66436,496.78,2,51,51
2,Alaska,AK,Alaska,4-year,Private not-for-profit,1,21.8,22.9,22.5,97275,101725,496.78,2,49,15
2,Alaska,AK,Alaska,4-year,Private for-profit,1,23.2,34.2,24.6,30416,38763,496.78,2,29,1
2,Alaska,AK,Alaska,2-year,Public,2,15.6,9.1,16.5,160134,37780,496.78,2,8,50
2,Alaska,AK,Alaska,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,496.78,2,NULL,NULL
2,Alaska,AK,Alaska,2-year,Private for-profit,0,NULL,NULL,32.8,NULL,24795,496.78,2,NULL,NULL
4,Arizona,AZ,Ariz.,4-year,Public,4,63.9,22,21.5,75690,66436,126.81,47,20,11
4,Arizona,AZ,Ariz.,4-year,Private not-for-profit,4,62.3,21.7,22.5,35493,101725,126.81,47,34,30
4,Arizona,AZ,Ariz.,4-year,Private for-profit,23,48,32.8,24.6,25661,38763,126.81,47,34,3
4,Arizona,AZ,Ariz.,2-year,Public,20,24.5,20.4,16.5,25969,37780,126.81,47,40,14
4,Arizona,AZ,Ariz.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,126.81,47,NULL,NULL
4,Arizona,AZ,Ariz.,2-year,Private for-profit,12,44.9,36.8,32.8,21312,24795,126.81,47,12,19
5,Arkansas,AR,Ark.,4-year,Public,10,67.3,19.6,21.5,47347,66436,306.32,9,50,34
5,Arkansas,AR,Ark.,4-year,Private not-for-profit,12,78.3,19.4,22.5,82509,101725,306.32,9,38,42
5,Arkansas,AR,Ark.,4-year,Private for-profit,2,65.1,20.8,24.6,55570,38763,306.32,9,38,33
5,Arkansas,AR,Ark.,2-year,Public,22,43.6,23.6,16.5,25729,37780,306.32,9,20,3
5,Arkansas,AR,Ark.,2-year,Private not-for-profit,1,NULL,11.6,25.9,15410,34510,306.32,9,7,26
5,Arkansas,AR,Ark.,2-year,Private for-profit,1,100,51.4,32.8,38603,24795,306.32,9,32,4
6,California,CA,Calif.,4-year,Public,32,58.1,25,21.5,79310,66436,230.7,26,9,1
6,California,CA,Calif.,4-year,Private not-for-profit,74,68.5,22.4,22.5,125902,101725,230.7,26,4,21
6,California,CA,Calif.,4-year,Private for-profit,64,54.5,23.2,24.6,53245,38763,230.7,26,14,26
6,California,CA,Calif.,2-year,Public,113,22.7,12.8,16.5,44144,37780,230.7,26,10,49
6,California,CA,Calif.,2-year,Private not-for-profit,4,100,34.1,25.9,31169,34510,230.7,26,1,7
6,California,CA,Calif.,2-year,Private for-profit,63,46.9,39.3,32.8,23430,24795,230.7,26,8,12
8,Colorado,CO,Colo.,4-year,Public,13,55.4,19.6,21.5,71128,66436,121.6,48,32,36
8,Colorado,CO,Colo.,4-year,Private not-for-profit,10,65.5,25.3,22.5,62622,101725,121.6,48,16,3
8,Colorado,CO,Colo.,4-year,Private for-profit,16,54.7,24.7,24.6,44867,38763,121.6,48,12,23
8,Colorado,CO,Colo.,2-year,Public,14,22.7,13.5,16.5,26635,37780,121.6,48,23,47
8,Colorado,CO,Colo.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,121.6,48,NULL,NULL
8,Colorado,CO,Colo.,2-year,Private for-profit,17,90,33.7,32.8,21127,24795,121.6,48,24,29
9,Connecticut,CT,Conn.,4-year,Public,5,67.4,23.9,21.5,95469,66436,266.19,16,10,4
9,Connecticut,CT,Conn.,4-year,Private not-for-profit,15,80.6,21.8,22.5,188870,101725,266.19,16,3,29
9,Connecticut,CT,Conn.,4-year,Private for-profit,3,46.2,12.1,24.6,76194,38763,266.19,16,6,46
9,Connecticut,CT,Conn.,2-year,Public,12,37.2,15.1,16.5,57185,37780,266.19,16,46,43
9,Connecticut,CT,Conn.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,266.19,16,NULL,NULL
9,Connecticut,CT,Conn.,2-year,Private for-profit,0,NULL,NULL,32.8,NULL,24795,266.19,16,NULL,NULL
10,Delaware,DE,Del.,4-year,Public,2,90,20.7,21.5,112679,66436,233.86,25,1,27
10,Delaware,DE,Del.,4-year,Private not-for-profit,4,43.6,24.4,22.5,26940,101725,233.86,25,51,6
10,Delaware,DE,Del.,4-year,Private for-profit,1,NULL,16,24.6,51645,38763,233.86,25,NULL,44
10,Delaware,DE,Del.,2-year,Public,3,56,16,16.5,62470,37780,233.86,25,38,37
10,Delaware,DE,Del.,2-year,Private not-for-profit,1,90.8,31.1,25.9,35224,34510,233.86,25,2,9
10,Delaware,DE,Del.,2-year,Private for-profit,0,NULL,NULL,32.8,NULL,24795,233.86,25,NULL,NULL
11,District of Columbia,DC,D.C.,4-year,Public,1,45.6,16.5,21.5,151215,66436,NULL,NULL,52,49
11,District of Columbia,DC,D.C.,4-year,Private not-for-profit,8,55.4,22.6,22.5,114865,101725,NULL,NULL,1,19
11,District of Columbia,DC,D.C.,4-year,Private for-profit,3,2,16.5,24.6,56150,38763,NULL,NULL,42,42
11,District of Columbia,DC,D.C.,2-year,Public,0,NULL,NULL,16.5,NULL,37780,NULL,NULL,NULL,NULL
11,District of Columbia,DC,D.C.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,NULL,NULL,NULL,NULL
11,District of Columbia,DC,D.C.,2-year,Private for-profit,0,NULL,NULL,32.8,NULL,24795,NULL,NULL,NULL,NULL
12,Florida,FL,Fla.,4-year,Public,36,44.1,23.9,21.5,34779,66436,170.9,38,8,5
