"Season"|"MatchID"|"Round"|"Date_Time"|"PSO"|"AET"|"Team1_Code"|"Team1_Name"|"HT_Team1_Goals"|"FT_Team1_Goals"|"ET_Team1_Goals"|"PS_Team1_Goals"|"Team2_Code"|"Team2_Name"|"HT_Team2_Goals"|"FT_Team2_Goals"|"ET_Team2_Goals"|"PS_Team2_Goals"
"2014"|"S01M001"|"Round 1"|2014-10-12 14:30:00|0|0|"ATK"|"Atlético de Kolkata"|1|3|NA|NA|"MUM"|"Mumbai City FC"|0|0|NA|NA
"2014"|"S01M002"|"Round 1"|2014-10-13 14:30:00|0|0|"NEU"|"NorthEast United FC"|1|1|NA|NA|"KER"|"Kerala Blasters"|0|0|NA|NA
"2014"|"S01M003"|"Round 1"|2014-10-14 14:30:00|0|0|"DEL"|"Delhi Dynamos FC"|0|0|NA|NA|"PUN"|"FC Pune City"|0|0|NA|NA
"2014"|"S01M004"|"Round 1"|2014-10-15 14:30:00|0|0|"GOA"|"FC Goa"|0|1|NA|NA|"CHN"|"Chennaiyin FC"|2|2|NA|NA
"2014"|"S01M005"|"Round 1"|2014-10-16 14:30:00|0|0|"NEU"|"NorthEast United FC"|0|0|NA|NA|"ATK"|"Atlético de Kolkata"|1|2|NA|NA
"2014"|"S01M006"|"Round 1"|2014-10-18 14:30:00|0|0|"MUM"|"Mumbai City FC"|3|5|NA|NA|"PUN"|"FC Pune City"|0|0|NA|NA
"2014"|"S01M007"|"Round 1"|2014-10-19 12:00:00|0|0|"ATK"|"Atlético de Kolkata"|0|1|NA|NA|"DEL"|"Delhi Dynamos FC"|0|1|NA|NA
"2014"|"S01M008"|"Round 1"|2014-10-19 14:30:00|0|0|"NEU"|"NorthEast United FC"|1|1|NA|NA|"GOA"|"FC Goa"|1|1|NA|NA
"2014"|"S01M009"|"Round 1"|2014-10-21 14:30:00|0|0|"CHN"|"Chennaiyin FC"|1|2|NA|NA|"KER"|"Kerala Blasters"|0|1|NA|NA
"2014"|"S01M010"|"Round 1"|2014-10-23 14:30:00|0|0|"GOA"|"FC Goa"|1|1|NA|NA|"ATK"|"Atlético de Kolkata"|0|2|NA|NA
"2014"|"S01M011"|"Round 1"|2014-10-24 14:30:00|0|0|"MUM"|"Mumbai City FC"|0|0|NA|NA|"NEU"|"NorthEast United FC"|0|2|NA|NA
"2014"|"S01M012"|"Round 1"|2014-10-25 14:30:00|0|0|"DEL"|"Delhi Dynamos FC"|2|4|NA|NA|"CHN"|"Chennaiyin FC"|0|1|NA|NA
"2014"|"S01M013"|"Round 1"|2014-10-26 11:00:00|0|0|"ATK"|"Atlético de Kolkata"|1|1|NA|NA|"KER"|"Kerala Blasters"|1|1|NA|NA
