"season"|"team"|"player"|"dob"|"age"|"nationality"|"current.club"|"height.cm"|"foot"|"joined"|"contract.start"|"contract.end"|"curr.market.value.EUR"|"prev.market.value.EUR"
"2013"|"Bengaluru FC"|"Pawan Kumar"|1990-07-01|"23"|"India"|"NorthEast United FC"|"182"|NA|2013-09-01|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Soram Anganba"|1992-12-24|"20"|"India"|"Bengaluru FC"|"180"|NA|2013-12-13|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Bruno Colaco"|1991-10-11|"21"|"India"|"Without Club"|NA|NA|2013-09-01|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Shivananju Manju"|1987-05-09|"26"|"India"|"Unknown"|"179"|"both"|2013-07-01|NA|NA|"75K"|NA
"2013"|"Bengaluru FC"|"Kosovar Sulejmani"|1999-04-02|"14"|"Kosovo"|"Snöstorp Nyhem FF"|NA|NA|NA|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Gurtej Singh"|1990-05-02|"23"|"India"|"FC Pune City"|"181"|"right"|2013-07-08|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Keegan Pereira"|1987-11-07|"25"|"India"|"NorthEast United FC"|"175"|"left"|2013-09-01|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Curtis Osano"|1987-03-08|"26"|"Kenya"|"FC Farnborough"|"180"|"right"|2013-07-16|NA|NA|"100K"|NA
"2013"|"Bengaluru FC"|"John Johnson"|1988-03-15|"25"|"England"|"Amar Tomar Kolkata"|"183"|"right"|2013-07-16|NA|2018-05-30|"75K"|"50K"
"2013"|"Bengaluru FC"|"Rino Anto"|1988-01-03|"25"|"India"|"Bengaluru FC"|"174"|"right"|2013-07-20|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Vishal Kumar"|1992-07-30|"20"|"India"|"Unknown"|NA|"right"|2013-07-01|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Sampath Kuttymani"|1986-09-28|"26"|"India"|"DSK Shivajians"|"185"|NA|2013-07-01|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Shankar Sampingiraj"|1994-12-14|"18"|"India"|"FC Pune City"|"183"|NA|2013-12-13|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Darren Caldeira"|1987-09-19|"25"|"India"|"Mohun Bagan AC"|"183"|NA|2013-07-30|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Siam Hanghal"|1993-05-26|"20"|"India"|"Delhi Dynamos FC"|"182"|NA|2013-09-01|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Johnny Menyongar"|1979-06-26|"34"|"Liberia"|"Retired"|"165"|NA|2013-07-13|NA|NA|"500K"|NA
"2013"|"Bengaluru FC"|"Beingaichho Beokhokhai"|1992-12-01|"20"|"India"|"Mohun Bagan AC"|NA|"right"|2013-07-01|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Sunil Chhetri"|1984-08-03|"28"|"India"|"Bengaluru FC"|"170"|NA|2013-07-30|NA|NA|"400K"|"125K"
"2013"|"Bengaluru FC"|"Sean Rooney"|1989-03-01|"24"|"Australia"|"Marconi Stallions"|"177"|"both"|2013-08-01|NA|NA|"100K"|"200K"
"2013"|"Bengaluru FC"|"Karan Sawhney"|1992-03-23|"21"|"India"|"Without Club"|"184"|NA|2013-07-20|NA|NA|NA|NA
"2013"|"Bengaluru FC"|"Robin Singh"|1990-05-09|"23"|"India"|"FC Pune City"|"185"|NA|2013-07-11|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Gennaro Bracigliano"|1980-03-01|"33"|"France"|"FC Lunéville"|"183"|"right"|NA|NA|NA|"400K"|"400K"
"2013"|"Chennaiyin FC"|"Francesco Franzese"|1981-09-08|"31"|"Italy"|"Retired"|"186"|NA|NA|NA|NA|NA|NA
