"Stadium"|"Attendance"|"Referee"|"Asst_Referee_1"|"Asst_Referee_2"|"MatchID"
"Salt Lake Stadium (Kolkata / India)"|"65.000"|"Chris Penso (USA)"|"Mark Cahen (USA)"|"Eric Boria (USA)"|"S01M001"
"Indira Gandhi Athletic Stadium (Guwahati / India)"|"29.500"|"Pratap Singh (India)"|"Biplab Podder (India)"|"Arun Pillai (India)"|"S01M002"
"Jawaharlal Nehru Stadium (Delhi / India)"|"16.500"|"Pranjal Banerji (India)"|NA|NA|"S01M003"
"Fatorda Stadium (Margao / India)"|"16.652"|"Chris Penso (USA)"|"Mark Cahen (USA)"|"Eric Boria (USA)"|"S01M004"
"Indira Gandhi Athletic Stadium (Guwahati / India)"|"25.530"|"Tejas Nagvenkar (India)"|"Rinkhao Vashum (India)"|"Joseph Louis (India)"|"S01M005"
"DY Patil Stadium (Mumbai / India)"|"28.000"|"Chris Penso (USA)"|"Eric Boria (USA)"|"Mark Cahen (USA)"|"S01M006"
"Salt Lake Stadium (Kolkata / India)"|"55.793"|"Bhaskaran Santosh Kumar (India)"|"Magho Singh (India)"|"Sapam Kennedy (India)"|"S01M007"
"Indira Gandhi Athletic Stadium (Guwahati / India)"|"30.870"|"Dave Gantar (Canada)"|"Anthony Abraham (India)"|"Biplab Podder (India)"|"S01M008"
"Jawaharlal Nehru Stadium (Chennai / India)"|"19.430"|"Rahul Dsa (India)"|"Frank Anderson (USA)"|"Rinkhao Vashum (India)"|"S01M009"
"Fatorda Stadium (Margao / India)"|"17.343"|"Chris Penso (USA)"|"Mark Cahen (USA)"|"Eric Boria (USA)"|"S01M010"
"DY Patil Stadium (Mumbai / India)"|"22.314"|"Dave Gantar (Canada)"|"Arun Pillai (India)"|"Frank Anderson (USA)"|"S01M011"
"Jawaharlal Nehru Stadium (Delhi / India)"|"13.000"|"Tejas Nagvenkar (India)"|"Rinkhao Vashum (India)"|"Samar Pal (India)"|"S01M012"
"Salt Lake Stadium (Kolkata / India)"|NA|"Arumughan Rowan (India)"|NA|NA|"S01M013"
"Balewadi Stadium (Pune / India)"|"7.517"|"Pratap Singh (India)"|"Arun Pillai (India)"|"Biplab Podder (India)"|"S01M014"
"Jawaharlal Nehru Stadium (Chennai / India)"|"16.567"|"Dave Gantar (Canada)"|"Frank Anderson (USA)"|"Joseph Louis (India)"|"S01M015"
"Jawaharlal Nehru Stadium (Delhi / India)"|"16.000"|"Pratap Singh (India)"|"Samar Pal (India)"|"Arun Pillai (India)"|"S01M016"
"Balewadi Stadium (Pune / India)"|"8.227"|"Tejas Nagvenkar (India)"|"Subrata Sarkar (India)"|"Sapam Kennedy (India)"|"S01M017"
"Fatorda Stadium (Margao / India)"|"17.563"|"Dave Gantar (Canada)"|"Frank Anderson (USA)"|"Joseph Louis (India)"|"S01M018"
"DY Patil Stadium (Mumbai / India)"|"20.439"|"Jarred Gillet (Australia)"|"Nathan MacDonald (Australia)"|"Mathew Cheeseman (Australia)"|"S01M019"
"Balewadi Stadium (Pune / India)"|"7.647"|"Bhaskaran Santosh Kumar (India)"|"Subrata Sarkar (India)"|"Arun Pillai (India)"|"S01M020"
"Jawaharlal Nehru Stadium (Chennai / India)"|"24.088"|"Tejas Nagvenkar (India)"|"Frank Anderson (USA)"|"Joseph Louis (India)"|"S01M021"
"DY Patil Stadium (Mumbai / India)"|"18.197"|"Pranjal Banerji (India)"|"Sapam Kennedy (India)"|"Samar Pal (India)"|"S01M022"
"Jawaharlal Nehru Stadium (Kochin / India)"|"49.517"|"Jarred Gillet (Australia)"|"Nathan MacDonald (Australia)"|"Mathew Cheeseman (Australia)"|"S01M023"
"Salt Lake Stadium (Kolkata / India)"|"21.550"|"Bhaskaran Santosh Kumar (India)"|"Arun Pillai (India)"|"Rinkhao Vashum (India)"|"S01M024"
"Jawaharlal Nehru Stadium (Chennai / India)"|"22.496"|"Pratap Singh (India)"|"Joseph Louis (India)"|"Biplab Podder (India)"|"S01M025"
"Jawaharlal Nehru Stadium (Kochin / India)"|"17.325"|"Jarred Gillet (Australia)"|"Mathew Cheeseman (Australia)"|"Nathan MacDonald (Australia)"|"S01M026"
"Jawaharlal Nehru Stadium (Kochin / India)"|"34.657"|"Pranjal Banerji (India)"|"Arun Pillai (India)"|"Subrata Sarkar (India)"|"S01M027"
"Balewadi Stadium (Pune / India)"|"7.243"|"Jarred Gillet (Australia)"|"Nathan MacDonald (Australia)"|"Mathew Cheeseman (Australia)"|"S01M028"
"Jawaharlal Nehru Stadium (Kochin / India)"|"41.362"|"Tejas Nagvenkar (India)"|NA|NA|"S01M029"
"Jawaharlal Nehru Stadium (Delhi / India)"|"15.697"|"Arumughan Rowan (India)"|"Subrata Sarkar (India)"|"Rinkhao Vashum (India)"|"S01M030"
"Salt Lake Stadium (Kolkata / India)"|"46.288"|"Pratap Singh (India)"|"Magho Singh (India)"|"Joseph Louis (India)"|"S01M031"
"Indira Gandhi Athletic Stadium (Guwahati / India)"|"29.981"|"Pranjal Banerji (India)"|"Arun Pillai (India)"|"Samar Pal (India)"|"S01M032"
"Jawaharlal Nehru Stadium (Delhi / India)"|"17.853"|"Jarred Gillet (Australia)"|"Mathew Cheeseman (Australia)"|"Nathan MacDonald (Australia)"|"S01M033"
"DY Patil Stadium (Mumbai / India)"|"22.317"|"Bhaskaran Santosh Kumar (India)"|"Biplab Podder (India)"|"Magho Singh (India)"|"S01M034"
"Salt Lake Stadium (Kolkata / India)"|"37.153"|"Hettikamkanamge Perera (Sri Lanka)"|"Arun Pillai (India)"|"Anthony Abraham (India)"|"S01M035"
"Jawaharlal Nehru Stadium (Chennai / India)"|"23.726"|"Ravshan Irmatov (Uzbekistan)"|"Abdukhamidullo Rasulov (Uzbekistan)"|"Jakhongir Saidov (Uzbekistan)"|"S01M036"
"Jawaharlal Nehru Stadium (Kochin / India)"|"57.296"|"Ravshan Irmatov (Uzbekistan)"|"Jakhongir Saidov (Uzbekistan)"|"Abdukhamidullo Rasulov (Uzbekistan)"|"S01M037"
"Fatorda Stadium (Margao / India)"|"18.127"|"Hettikamkanamge Perera (Sri Lanka)"|"Magho Singh (India)"|"Arun Pillai (India)"|"S01M038"
"DY Patil Stadium (Mumbai / India)"|"23.857"|"Anthony Simoes (India)"|"Anil Tanwar (India)"|"Anthony Abraham (India)"|"S01M039"
"Indira Gandhi Athletic Stadium (Guwahati / India)"|"26.749"|"Ravshan Irmatov (Uzbekistan)"|"Abdukhamidullo Rasulov (Uzbekistan)"|"Jakhongir Saidov (Uzbekistan)"|"S01M040"
"Fatorda Stadium (Margao / India)"|"19.752"|"Ranjit Bakshi (India)"|"Samar Pal (India)"|"Subrata Sarkar (India)"|"S01M041"
"Indira Gandhi Athletic Stadium (Guwahati / India)"|"29.894"|"Hettikamkanamge Perera (Sri Lanka)"|"Biplab Podder (India)"|"Arun Pillai (India)"|"S01M042"
"Jawaharlal Nehru Stadium (Delhi / India)"|"14.643"|"Coimbatore Srikrishna (India)"|"Sapam Kennedy (India)"|"Anil Tanwar (India)"|"S01M043"
"Balewadi Stadium (Pune / India)"|"8.427"|"Umesh Bora (India)"|"Rinkhao Vashum (India)"|"Joseph Louis (India)"|"S01M044"
"Jawaharlal Nehru Stadium (Kochin / India)"|"61.323"|"Hettikamkanamge Perera (Sri Lanka)"|NA|NA|"S01M045"
"Fatorda Stadium (Margao / India)"|"18.750"|"Bhaskaran Santosh Kumar (India)"|"Anil Tanwar (India)"|"Samchrista Doss (India)"|"S01M046"
"Jawaharlal Nehru Stadium (Delhi / India)"|"16.300"|"Arumughan Rowan (India)"|NA|NA|"S01M047"
"Balewadi Stadium (Pune / India)"|"7.742"|"Baldomero Toledo (USA)"|"Joseph Louis (India)"|"Mark Cahen (USA)"|"S01M048"
"Jawaharlal Nehru Stadium (Kochin / India)"|"43.299"|"Tejas Nagvenkar (India)"|"Samar Pal (India)"|"Subrata Sarkar (India)"|"S01M049"
"Jawaharlal Nehru Stadium (Chennai / India)"|"24.687"|"Baldomero Toledo (USA)"|"Mark Cahen (USA)"|"Joseph Louis (India)"|"S01M050"
"Balewadi Stadium (Pune / India)"|"8.212"|"Ranjit Bakshi (India)"|"Biplab Podder (India)"|"Subrata Sarkar (India)"|"S01M051"
"DY Patil Stadium (Mumbai / India)"|"23.018"|"Bhaskaran Santosh Kumar (India)"|"Anil Tanwar (India)"|"Anthony Abraham (India)"|"S01M052"
"Jawaharlal Nehru Stadium (Chennai / India)"|"20.446"|"Pranjal Banerji (India)"|"Subrata Sarkar (India)"|"Bugai Soren (India)"|"S01M053"
"Jawaharlal Nehru Stadium (Kochin / India)"|"44.532"|"Coimbatore Srikrishna (India)"|NA|NA|"S01M054"
"Salt Lake Stadium (Kolkata / India)"|"37.238"|"Baldomero Toledo (USA)"|"Mark Cahen (USA)"|"Joseph Louis (India)"|"S01M055"
"Indira Gandhi Athletic Stadium (Guwahati / India)"|"27.772"|"Ranjit Bakshi (India)"|"Biplab Podder (India)"|"Anil Singh (India)"|"S01M056"
"Jawaharlal Nehru Stadium (Kochin / India)"|"60.900"|"Pranjal Banerji (India)"|"Mark Cahen (USA)"|"Joseph Louis (India)"|"S01M057"
"Salt Lake Stadium (Kolkata / India)"|"53.173"|"Bhaskaran Santosh Kumar (India)"|"Anil Tanwar (India)"|"Samchrista Doss (India)"|"S01M058"
"Jawaharlal Nehru Stadium (Chennai / India)"|"25.317"|"Tejas Nagvenkar (India)"|"Biplab Podder (India)"|"Subrata Sarkar (India)"|"S01M059"
