"Jersey_No"|"Player"|"Card_Time"|"Substitution_Time"|"P_S"|"Team_Code"|"Goal_Time"|"MatchID"
"1"|"Subhashish Chowdhury"|NA|""|"Player"|"ATK"|NA|"S01M001"
"2"|"Biswajit Saha"|NA|""|"Player"|"ATK"|NA|"S01M001"
"5"|"Arnab Mondal"|NA|""|"Player"|"ATK"|NA|"S01M001"
"12"|"Denzil Franco"|NA|""|"Player"|"ATK"|NA|"S01M001"
"17"|"Josemi"|NA|""|"Player"|"ATK"|NA|"S01M001"
"6"|"Baljit Sahni"|NA|"82'"|"Player"|"ATK"|NA|"S01M001"
"8"|"Borja"|NA|""|"Player"|"ATK"|" 69'"|"S01M001"
"10"|"Luis García"|NA|"87'"|"Player"|"ATK"|NA|"S01M001"
"11"|"Jofre"|NA|"61'"|"Player"|"ATK"|NA|"S01M001"
"23"|"Ofentse Nato"|"33'"|""|"Player"|"ATK"|NA|"S01M001"
"9"|"Fikru Teferra"|"24'"|""|"Player"|"ATK"|" 27'"|"S01M001"
"15"|"Sanju Pradhan"|NA|"82'"|"Substitute"|"ATK"|NA|"S01M001"
"21"|"Jakub Podaný"|NA|"61'"|"Substitute"|"ATK"|NA|"S01M001"
"24"|"Arnal"|"90'"|"87'"|"Substitute"|"ATK"|" 90'"|"S01M001"
"25"|"Apoula Edel"|NA|""|"Substitute"|"ATK"|NA|"S01M001"
"4"|"Kingshuk Debnath"|NA|""|"Substitute"|"ATK"|NA|"S01M001"
"26"|"Sylvain Monsoreau"|NA|""|"Substitute"|"ATK"|NA|"S01M001"
"14"|"Mohammed Rafi"|NA|""|"Substitute"|"ATK"|NA|"S01M001"
"1"|"Subrata Pal"|NA|""|"Player"|"MUM"|NA|"S01M001"
"2"|"Johann Letzelter"|NA|""|"Player"|"MUM"|NA|"S01M001"
"3"|"Raju Gaikwad"|"20'"|"56'"|"Player"|"MUM"|NA|"S01M001"
"5"|"Manuel Friedrich"|NA|""|"Player"|"MUM"|NA|"S01M001"
"17"|"Deepak Mondal"|NA|""|"Player"|"MUM"|NA|"S01M001"
"19"|"Syed Nabi"|"2'"|"39'"|"Player"|"MUM"|NA|"S01M001"
"27"|"Pavel Cmovš"|NA|""|"Player"|"MUM"|NA|"S01M001"
"4"|"Tiago Ribeiro"|NA|"46'"|"Player"|"MUM"|NA|"S01M001"
"6"|"Jan Štohanzl"|"29'"|""|"Player"|"MUM"|NA|"S01M001"
"20"|"Lalrindika Ralte"|NA|""|"Player"|"MUM"|NA|"S01M001"
"10"|"Diego Nadaya"|NA|""|"Player"|"MUM"|NA|"S01M001"
"16"|"Peter Costa"|NA|"56'"|"Substitute"|"MUM"|NA|"S01M001"
"21"|"André Moritz"|NA|"46'"|"Substitute"|"MUM"|NA|"S01M001"
"14"|"Nadong Bhutia"|NA|"39'"|"Substitute"|"MUM"|NA|"S01M001"
"41"|"Preto"|NA|""|"Substitute"|"MUM"|NA|"S01M001"
"7"|"Rohit Mirza"|NA|""|"Substitute"|"MUM"|NA|"S01M001"
"15"|"Asif Kottayil"|NA|""|"Substitute"|"MUM"|NA|"S01M001"
"12"|"Singam Singh"|NA|""|"Substitute"|"MUM"|NA|"S01M001"
"18"|"Sushil Singh"|NA|""|"Substitute"|"MUM"|NA|"S01M001"
"1"|"Alexandros Tzorvas"|NA|""|"Player"|"NEU"|NA|"S01M002"
"2"|"Aibor Khongjee"|NA|"78'"|"Player"|"NEU"|NA|"S01M002"
"11"|"Capdevila"|NA|""|"Player"|"NEU"|NA|"S01M002"
"15"|"Miguel García"|NA|""|"Player"|"NEU"|NA|"S01M002"
"16"|"Robin Gurung"|NA|""|"Player"|"NEU"|NA|"S01M002"
"17"|"Zohmingliana Ralte"|NA|""|"Player"|"NEU"|NA|"S01M002"
"19"|"Guilherme Batata"|NA|""|"Player"|"NEU"|NA|"S01M002"
"26"|"David Ngaihte"|NA|""|"Player"|"NEU"|NA|"S01M002"
"9"|"James Keene"|NA|""|"Player"|"NEU"|NA|"S01M002"
"10"|"Koke"|NA|"71'"|"Player"|"NEU"|" 45'"|"S01M002"
"25"|"Durga Boro"|NA|"62'"|"Player"|"NEU"|NA|"S01M002"
"20"|"Milan Singh"|NA|"62'"|"Substitute"|"NEU"|NA|"S01M002"
"22"|"Boithang Haokip"|NA|"78'"|"Substitute"|"NEU"|NA|"S01M002"
"7"|"Dong-Hyun Do"|NA|"71'"|"Substitute"|"NEU"|NA|"S01M002"
"13"|"Rehenesh Paramba"|NA|""|"Substitute"|"NEU"|NA|"S01M002"
"3"|"Tomáš Josl"|NA|""|"Substitute"|"NEU"|NA|"S01M002"
"4"|"Kondwani Mtonga"|NA|""|"Substitute"|"NEU"|NA|"S01M002"
"6"|"Isaac Chansa"|NA|""|"Substitute"|"NEU"|NA|"S01M002"
"21"|"Redeem Tlang"|NA|""|"Substitute"|"NEU"|NA|"S01M002"
"24"|"Alen Deory"|NA|""|"Substitute"|"NEU"|NA|"S01M002"
"8"|"Luis Yánez"|NA|""|"Substitute"|"NEU"|NA|"S01M002"
"23"|"Seminlen Doungel"|NA|""|"Substitute"|"NEU"|NA|"S01M002"
"70"|"David James"|NA|""|"Player"|"KER"|NA|"S01M002"
"2"|"Cédric Hengbart"|NA|""|"Player"|"KER"|NA|"S01M002"
"3"|"Jamie McAllister"|"44'"|"76'"|"Player"|"KER"|NA|"S01M002"
"5"|"Nirmal Chettri"|NA|""|"Player"|"KER"|NA|"S01M002"
"16"|"Gurwinder Singh"|NA|""|"Player"|"KER"|NA|"S01M002"
"23"|"Avinabo Bag"|NA|""|"Player"|"KER"|NA|"S01M002"
"14"|"Mehtab Hossain"|NA|""|"Player"|"KER"|NA|"S01M002"
"18"|"Penn Orji"|NA|""|"Player"|"KER"|NA|"S01M002"
"25"|"Stephen Pearson"|NA|"64'"|"Player"|"KER"|NA|"S01M002"
"10"|"Iain Hume"|NA|""|"Player"|"KER"|NA|"S01M002"
"12"|"Chinadorai Sabeeth"|NA|"65'"|"Player"|"KER"|NA|"S01M002"
"29"|"Saumik Dey"|NA|"65'"|"Substitute"|"KER"|NA|"S01M002"
"8"|"Michael Chopra"|NA|"64'"|"Substitute"|"KER"|NA|"S01M002"
"27"|"Andrew Barišic"|NA|"76'"|"Substitute"|"KER"|NA|"S01M002"
"30"|"Luis Barreto"|NA|""|"Substitute"|"KER"|NA|"S01M002"
"15"|"Sandesh Jhingan"|NA|""|"Substitute"|"KER"|NA|"S01M002"
"32"|"Colin Falvey"|NA|""|"Substitute"|"KER"|NA|"S01M002"
"6"|"Renedy Singh"|NA|""|"Substitute"|"KER"|NA|"S01M002"
"11"|"Ishfaq Ahmed"|NA|""|"Substitute"|"KER"|NA|"S01M002"
"44"|"Erwin Spitzner"|NA|""|"Substitute"|"KER"|NA|"S01M002"
"85"|"Pulga"|NA|""|"Substitute"|"KER"|NA|"S01M002"
"88"|"Milagres Gonsalves"|NA|""|"Substitute"|"KER"|NA|"S01M002"
"1"|"Kristof Van Hout"|NA|""|"Player"|"DEL"|NA|"S01M003"
"4"|"Wim Raymaekers"|NA|""|"Player"|"DEL"|NA|"S01M003"
"5"|"Anwar Ali"|NA|""|"Player"|"DEL"|NA|"S01M003"
"22"|"Naoba Singh"|NA|""|"Player"|"DEL"|NA|"S01M003"
"26"|"Shouvik Ghosh"|NA|""|"Player"|"DEL"|NA|"S01M003"
