"season"|"player"|"team"|"dob"|"height.cm"|"position"
"2014"|"Joaquim Abranches"|"FC Pune City"|"28/10/1985"|NA|"FW"
"2014"|"Ishfaq Ahmed"|"Kerala Blasters"|"17/03/1983"|NA|"MF"
"2014"|"Anwar Ali"|"Delhi Dynamos FC"|"24/09/1984"|"189"|"DF"
"2014"|"Zohib Amiri"|"FC Goa"|"02/05/1987"|"176"|"DF"
"2014"|"Zohib Amiri"|"FC Goa"|"15/02/1990"|"177"|"DF"
"2014"|"André Moritz"|"Mumbai City FC"|"06/08/1986"|"187"|"MF"
"2014"|"André Santos"|"FC Goa"|"08/03/1983"|"180"|"DF"
"2014"|"Nicolas Anelka"|"Mumbai City FC"|"14/03/1979"|"183"|"FW"
"2014"|"Arnal"|"ATK"|"21/11/1980"|"174"|"FW"
"2014"|"Gregory Arnolin"|"FC Goa"|"10/11/1980"|"187"|"DF"
"2014"|"Avinabo Bag"|"Kerala Blasters"|"08/09/1989"|NA|"DF"
"2014"|"Anthony Barbosa"|"Chennaiyin FC"|"13/06/1989"|"175"|"FW"
"2014"|"Andrew Barišic"|"Kerala Blasters"|"22/03/1986"|"187"|"FW"
"2014"|"Luis Barreto"|"Kerala Blasters"|"14/10/1980"|NA|"GK"
"2014"|"Basilio"|"ATK"|"02/01/1984"|"189"|"GK"
"2014"|"Emanuele Belardi"|"FC Pune City"|"09/10/1977"|"187"|"GK"
"2014"|"Youness Bengelloun"|"FC Goa"|"03/01/1983"|"183"|"DF"
"2014"|"Leo Bertos"|"NorthEast United FC"|"20/12/1981"|"177"|"MF"
"2014"|"Manish Bhargav"|"Delhi Dynamos FC"|"22/02/1994"|"168"|"MF"
"2014"|"Arindam Bhattacharya"|"FC Pune City"|"11/12/1989"|"188"|"GK"
"2014"|"Kunzang Bhutia"|"NorthEast United FC"|"03/01/1994"|"186"|"GK"
"2014"|"Nadong Bhutia"|"Mumbai City FC"|"25/11/1993"|"180"|"FW"
"2014"|"Borja"|"ATK"|"14/01/1981"|"188"|"MF"
"2014"|"Durga Boro"|"NorthEast United FC"|"28/06/1987"|"173"|"FW"
"2014"|"Gennaro Bracigliano"|"Chennaiyin FC"|"01/03/1980"|"183"|"GK"
"2014"|"Bruno"|"Delhi Dynamos FC"|"13/02/1985"|"176"|"MF"
"2014"|"Bruno Pelissari"|"Chennaiyin FC"|"03/01/1993"|"181"|"MF"
"2014"|"Bruno Pinheiro"|"FC Goa"|"21/08/1987"|"185"|"FW"
"2014"|"Capdevila"|"NorthEast United FC"|"03/02/1978"|"182"|"DF"
"2014"|"Peter Carvalho"|"FC Goa"|"18/12/1981"|NA|"MF"
"2014"|"Marek Cech"|"Delhi Dynamos FC"|"08/04/1976"|"195"|"GK"
"2014"|"Gurpreet Chabal"|"FC Goa"|"01/02/1993"|NA|"GK"
"2014"|"Souvik Chakraborty"|"Delhi Dynamos FC"|"12/07/1987"|"172"|"MF"
"2014"|"Isaac Chansa"|"NorthEast United FC"|"23/03/1984"|"173"|"MF"
"2014"|"Nirmal Chettri"|"Kerala Blasters"|"21/10/1990"|"175"|"DF"
"2014"|"Michael Chopra"|"Kerala Blasters"|"23/12/1983"|"175"|"FW"
"2014"|"Subhashish Chowdhury"|"ATK"|"27/09/1986"|"186"|"GK"
"2014"|"Bruno Cirillo"|"FC Pune City"|"21/03/1977"|"187"|"DF"
"2014"|"Pavel Cmovš"|"Mumbai City FC"|"29/06/1990"|"189"|"DF"
"2014"|"Davide Colomba"|"FC Pune City"|"19/07/1988"|NA|"MF"
"2014"|"Peter Costa"|"Mumbai City FC"|"05/08/1984"|NA|"DF"
"2014"|"Cristian"|"Chennaiyin FC"|"21/09/1983"|"177"|"FW"
"2014"|"Koffi Dan Kowa"|"FC Goa"|"19/09/1989"|"180"|"DF"
"2014"|"Abhishek Das"|"Chennaiyin FC"|"15/09/1993"|"170"|"DF"
"2014"|"Narayan Das"|"FC Goa"|"25/09/1993"|"178"|"MF"
"2014"|"Prabir Das"|"FC Goa"|"20/12/1993"|"172"|"DF"
"2014"|"Arnab Das Sharma"|"Mumbai City FC"|"11/12/1987"|"183"|"GK"
"2014"|"Ishan Debnath"|"Mumbai City FC"|"07/06/1991"|"178"|"GK"
"2014"|"Kingshuk Debnath"|"ATK"|"08/05/1985"|NA|"DF"
"2014"|"Alessandro Del Piero"|"Delhi Dynamos FC"|"09/11/1974"|"173"|"FW"
"2014"|"Alen Deory"|"NorthEast United FC"|"12/01/1996"|"177"|"FW"
"2014"|"Mandar Dessai"|"FC Goa"|"18/03/1992"|"171"|"MF"
"2014"|"Denson Devadas"|"Chennaiyin FC"|"20/12/1982"|"178"|"MF"
"2014"|"Deepak Devrani"|"FC Pune City"|"10/12/1992"|"180"|"DF"
"2014"|"Saumik Dey"|"Kerala Blasters"|"20/08/1984"|"178"|"DF"
"2014"|"Steven Dias"|"Delhi Dynamos FC"|"25/12/1983"|"173"|"MF"
"2014"|"Dinis"|"Delhi Dynamos FC"|"21/01/1990"|"183"|"MF"
"2014"|"Eric Djemba-Djemba"|"Chennaiyin FC"|"04/05/1981"|"174"|"MF"
"2014"|"Bojan Djordjic"|"Chennaiyin FC"|"06/02/1982"|"178"|"MF"
"2014"|"Dong-Hyun Do"|"NorthEast United FC"|"19/11/1993"|"173"|"FW"
"2014"|"Seiminlen Doungel"|"NorthEast United FC"|"03/01/1994"|"172"|"FW"
"2014"|"Apoula Edel"|"ATK"|"17/06/1986"|"184"|"GK"
"2014"|"Edgar Marcelino"|"FC Goa"|"10/09/1984"|"170"|"MF"
"2014"|"Elano"|"Chennaiyin FC"|"14/06/1981"|"174"|"MF"
"2014"|"Pavel Eliáš"|"Delhi Dynamos FC"|"26/11/1986"|"183"|"MF"
"2014"|"Erwin Spitzner"|"Kerala Blasters"|"29/04/1994"|"185"|"MF"
"2014"|"Colin Falvey"|"Kerala Blasters"|"20/06/1985"|"185"|"DF"
"2014"|"Lalrin Fela"|"Mumbai City FC"|"24/09/1990"|"168"|"MF"
"2014"|"Francis Fernandes"|"Delhi Dynamos FC"|"25/11/1985"|"167"|"MF"
"2014"|"Gabriel Fernandes"|"FC Goa"|"22/04/1988"|"167"|"FW"
"2014"|"Romeo Fernandes"|"FC Goa"|"06/07/1992"|"168"|"MF"
"2014"|"Lester Fernandez"|"ATK"|"06/12/1986"|NA|"MF"
"2014"|"Denzil Franco"|"ATK"|"30/06/1986"|"177"|"DF"
"2014"|"Godwin Franco"|"Kerala Blasters"|"16/02/1985"|NA|"MF"
"2014"|"Francesco Franzese"|"Chennaiyin FC"|"08/09/1981"|NA|"GK"
"2014"|"Manuel Friedrich"|"Mumbai City FC"|"13/09/1979"|"189"|"DF"
"2014"|"Raju Gaikwad"|"Mumbai City FC"|"25/09/1990"|"180"|"DF"
"2014"|"Alwyn George"|"FC Goa"|"03/01/1992"|"173"|"MF"
"2014"|"Shouvik Ghosh"|"Delhi Dynamos FC"|"05/11/1992"|"181"|"DF"
"2014"|"Cornell Glenn"|"NorthEast United FC"|"21/10/1980"|"176"|"FW"
"2014"|"Milagres Gonsalves"|"Kerala Blasters"|"24/01/1987"|"186"|"FW"
"2014"|"Andrés González"|"FC Pune City"|"08/01/1984"|"188"|"DF"
"2014"|"John Goossens"|"FC Pune City"|"25/07/1988"|"176"|"MF"
"2014"|"Guilherme Batata"|"NorthEast United FC"|"02/05/1992"|"175"|"MF"
"2014"|"Israil Gurung"|"FC Pune City"|"02/04/1989"|"173"|"FW"
"2014"|"Robin Gurung"|"NorthEast United FC"|"26/10/1992"|"172"|"DF"
"2014"|"Gustavo Santos"|"Delhi Dynamos FC"|"08/03/1994"|"179"|"FW"
"2014"|"Boithang Haokip"|"NorthEast United FC"|"09/03/1991"|"178"|"MF"
