Team_Name,Opp_Name,Date,Game_Round,Team_Outcome,Team_Goals,Team_Points,Team_Score,Opp_Goals,Opp_Points,Opp_Score,Venue,Division
SLIGO,DERRY,10/02/2001,"NFL, DIV 1 LEAGUE SB",LOSS,1,10,13,1,14,17,CELTIC PARK,1
ROSCOMMON,DUBLIN,10/02/2001,"NFL, DIV 1 LEAGUE SA",WIN,0,12,12,0,10,10,PARNELL PARK,1
CARLOW,KILDARE,10/02/2001,"NFL, DIV 2 LEAGUE SB",LOSS,0,7,7,0,11,11,DR CULLEN PARK,2
WICKLOW,LEITRIM,10/02/2001,"NFL, DIV 2 LEAGUE SA",WIN,2,9,15,2,8,14,AUGHRIM,2
MEATH,CAVAN,11/02/2001,"NFL, DIV 1 LEAGUE SB",LOSS,0,11,11,2,7,13,BREFFNI PARK,1
GALWAY,LOUTH,11/02/2001,"NFL, DIV 1 LEAGUE SA",WIN,2,17,23,0,12,12,PAIRC NA NGEAL,1
FERMANAGH,LAOIS,11/02/2001,"NFL, DIV 1 LEAGUE SB",LOSS,0,13,13,1,15,18,BREWSTER PARK,1
CLARE,MAYO,11/02/2001,"NFL, DIV 1 LEAGUE SB",LOSS,1,9,12,2,14,20,MCHALE PARK,1
OFFALY,KERRY,11/02/2001,"NFL, DIV 1 LEAGUE SA",WIN,1,18,21,0,10,10,TULLAMORE,1
DONEGAL,TYRONE,11/02/2001,"NFL, DIV 1 LEAGUE SA",LOSS,0,10,10,0,13,13,CROSSMAGLEN,1
WESTMEATH,ARMAGH,11/02/2001,"NFL, DIV 2 LEAGUE SA",LOSS,1,7,10,3,13,22,CROSSMAGLEN,2
LIMERICK,ANTRIM,11/02/2001,"NFL, DIV 2 LEAGUE SA",LOSS,0,8,8,1,7,10,KILLMALOCK,2
DOWN,LONGFORD,11/02/2001,"NFL, DIV 2 LEAGUE SB",WIN,0,15,15,0,10,10,NEWRY,2
WATERFORD,TIPPERARY,17/02/2001,"NFL, DIV 2 LEAGUE SB",LOSS,0,12,12,0,14,14,DUNGARVAN,2
MONAGHAN,WEXFORD,18/02/2001,"NFL, DIV 2 LEAGUE SB",TIE,2,8,14,2,8,14,UNKNOWN,2
LAOIS,CLARE,25/02/2001,"NFL, DIV 1 LEAGUE SB",TIE,0,9,9,1,6,9,"CUSACK PARK, ENNIS",1
DONEGAL,DUBLIN,25/02/2001,"NFL, DIV 1 LEAGUE SA",LOSS,0,8,8,0,11,11,BALLYSHANNON,1
FERMANAGH,CAVAN,25/02/2001,"NFL, DIV 1 LEAGUE SB",WIN,2,6,12,1,8,11,KINGSCOURT,1
GALWAY,TYRONE,25/02/2001,"NFL, DIV 1 LEAGUE SA",WIN,0,18,18,1,13,16,DUGGAN PARK,1
OFFALY,LOUTH,25/02/2001,"NFL, DIV 1 LEAGUE SA",TIE,0,12,12,0,12,12,THE GAELIC GROUNDS,1
MEATH,DERRY,25/02/2001,"NFL, DIV 1 LEAGUE SB",TIE,0,8,8,0,8,8,PAIRC TAILTEAN,1
ROSCOMMON,KERRY,25/02/2001,"NFL, DIV 1 LEAGUE SA",WIN,0,11,11,1,5,8,DR HYDE PARK,1
SLIGO,MAYO,25/02/2001,"NFL, DIV 1 LEAGUE SB",TIE,1,5,8,0,8,8,MARKIEVICZ PARK,1
LONDON,ANTRIM,25/02/2001,"NFL, DIV 2 LEAGUE SA",LOSS,0,2,2,3,17,26,CASEMENT PARK,2
LIMERICK,ARMAGH,25/02/2001,"NFL, DIV 2 LEAGUE SA",LOSS,0,10,10,2,12,18,KILLMALOCK,2
WICKLOW,CORK,25/02/2001,"NFL, DIV 2 LEAGUE SA",LOSS,1,6,9,1,17,20,PAIRC UI RINN,2
CARLOW,DOWN,25/02/2001,"NFL, DIV 2 LEAGUE SB",LOSS,0,9,9,1,10,13,DR CULLEN PARK,2
KILDARE,WEXFORD,25/02/2001,"NFL, DIV 2 LEAGUE SB",WIN,1,13,16,1,8,11,NEWBRIDGE,2
TIPPERARY,LONGFORD,25/02/2001,"NFL, DIV 2 LEAGUE SB",LOSS,1,13,16,2,11,17,CLONMEL,2
WATERFORD,MONAGHAN,25/02/2001,"NFL, DIV 2 LEAGUE SB",LOSS,0,6,6,1,14,17,BALLYBAY,2
WESTMEATH,LEITRIM,25/02/2001,"NFL, DIV 2 LEAGUE SA",WIN,0,19,19,0,10,10,CARRICK ON SHANNON,2
KERRY,DUBLIN,01/04/2001,"NFL, DIV 1 LEAGUE SA",WIN,2,9,15,0,10,10,FITZGERALD STADIUM,1
DERRY,CAVAN,08/04/2001,"NFL, DIV 1 LEAGUE SB",WIN,3,16,25,2,11,17,BALLINASCREEN,1
FERMANAGH,CLARE,08/04/2001,"NFL, DIV 1 LEAGUE SB",WIN,0,14,14,1,9,12,BREWSTER PARK,1
MEATH,MAYO,08/04/2001,"NFL, DIV 1 LEAGUE SB",LOSS,0,12,12,0,18,18,BALLINA,1
LAOIS,SLIGO,08/04/2001,"NFL, DIV 1 LEAGUE SB",LOSS,0,7,7,0,13,13,UNKNOWN,1
GALWAY,DUBLIN,08/04/2001,"NFL, DIV 1 LEAGUE SA",LOSS,1,8,11,1,10,13,PARNELL PARK,1
DONEGAL,KERRY,08/04/2001,"NFL, DIV 1 LEAGUE SA",LOSS,0,9,9,0,14,14,FITZGERALD STADIUM,1
OFFALY,ROSCOMMON,08/04/2001,"NFL, DIV 1 LEAGUE SA",TIE,2,8,14,1,11,14,O'CONNOR PARK,1
DOWN,TIPPERARY,08/04/2001,"NFL, DIV 2 LEAGUE SB",TIE,1,10,13,1,10,13,NEWRY,2
WATERFORD,KILDARE,08/04/2001,"NFL, DIV 2 LEAGUE SB",LOSS,1,4,7,0,14,14,DUNGARBAN,2
MONAGHAN,LONGFORD,08/04/2001,"NFL, DIV 2 LEAGUE SB",LOSS,0,11,11,1,11,14,PEARSE PARK,2
WESTMEATH,CORK,08/04/2001,"NFL, DIV 2 LEAGUE SA",WIN,0,17,17,0,10,10,"CUSACK PARK, ENNIS",2
SLIGO,CLARE,15/04/2001,"NFL, DIV 1 LEAGUE SB",LOSS,1,7,10,1,9,12,MARKIEVICZ PARK,1
MAYO,CAVAN,15/04/2001,"NFL, DIV 1 LEAGUE SB",TIE,1,8,11,0,11,11,BREFFNI PARK,1
FERMANAGH,DERRY,15/04/2001,"NFL, DIV 1 LEAGUE SB",TIE,0,9,9,1,6,9,ENISKILLEN,1
GALWAY,KERRY,15/04/2001,"NFL, DIV 1 LEAGUE SA",WIN,1,18,21,2,9,15,TUAM STADIUM,1
LAOIS,MEATH,15/04/2001,"NFL, DIV 1 LEAGUE SB",WIN,1,11,14,1,10,13,PAIRC TAILTEAN,1
ROSCOMMON,DONEGAL,15/04/2001,"NFL, DIV 1 LEAGUE SA",WIN,1,10,13,0,11,11,BALLYBOFEY,1
LEITRIM,CORK,15/04/2001,"NFL, DIV 2 LEAGUE SA",LOSS,0,10,10,2,15,21,PAIRC UI CHAOIMH,2
CARLOW,WATERFORD,15/04/2001,"NFL, DIV 2 LEAGUE SB",WIN,5,13,28,1,11,14,DR CULLEN PARK,2
KILDARE,LONGFORD,15/04/2001,"NFL, DIV 2 LEAGUE SB",WIN,1,17,20,2,12,18,NEWBRIDGE,2
WICKLOW,LIMERICK,15/04/2001,"NFL, DIV 2 LEAGUE SA",LOSS,0,8,8,1,8,11,THE GAELIC GROUNDS,2
MONAGHAN,TIPPERARY,15/04/2001,"NFL, DIV 2 LEAGUE SB",WIN,3,12,21,1,9,12,SCOTSTOWN,2
CARLOW,WEXFORD,18/04/2001,"NFL, DIV 2 LEAGUE SB",WIN,2,8,14,1,4,7,DR CULLEN PARK,2
SLIGO,GALWAY,21/04/2001,"NFL, DIV 1 LEAGUE",LOSS,0,11,11,2,12,18,DR HYDE PARK,1
MAYO,ROSCOMMON,22/04/2001,"NFL, DIV 1 LEAGUE SEMI-FINAL",WIN,0,16,16,1,10,13,MARKIEVICZ PARK,1
KILDARE,CORK,22/04/2001,"NFL, DIV 2 LEAGUE SEMI-FINAL",LOSS,1,11,14,1,12,15,NENAGH,2
WESTMEATH,DOWN,22/04/2001,"NFL, DIV 2 LEAGUE SEMI-FINAL",WIN,0,20,20,2,5,11,PAIRC TAILTEAN,2
MAYO,GALWAY,29/04/2001,"NFL, DIV 1 LEAGUE FINAL",WIN,0,13,13,0,12,12,CROKE PARK,1
WESTMEATH,CORK,29/04/2001,"NFL, DIV 2 LEAGUE FINAL",WIN,3,11,20,2,13,19,CROKE PARK,2
FERMANAGH,DOWN,03/02/2002,"NFL, DIV 1 LEAGUE SB",LOSS,1,13,16,1,17,20,BALLYKINLAR,1
ARMAGH,LOUTH,03/02/2002,"NFL, DIV 2 LEAGUE SA",WIN,1,15,18,0,13,13,CARRICK CRUPPEN,2
LONDON,ANTRIM,03/02/2002,"NFL, DIV 2 LEAGUE SA",LOSS,0,5,5,1,19,22,RUISLIP,2
WICKLOW,KERRY,03/02/2002,"NFL, DIV 2 LEAGUE SA",LOSS,0,12,12,1,15,18,KILLARNEY,2
LAOIS,TIPPERARY,03/02/2002,"NFL, DIV 2 LEAGUE SB",TIE,0,10,10,1,7,10,PORTARLINGTON,2
WATERFORD,WEXFORD,03/02/2002,"NFL, DIV 2 LEAGUE SB",LOSS,1,5,8,0,10,10,DUNGARVAN,2
DERRY,CAVAN,10/02/2002,"NFL, DIV 1 LEAGUE SB",LOSS,1,10,13,1,15,18,CELTIC PARK,1
DONEGAL,DUBLIN,10/02/2002,"NFL, DIV 1 LEAGUE SA",LOSS,0,14,14,2,10,16,PARNELL PARK,1
FERMANAGH,CLARE,10/02/2002,"NFL, DIV 1 LEAGUE SB",WIN,1,14,17,1,8,11,ENNISKILLEN,1
SLIGO,KILDARE,10/02/2002,"NFL, DIV 1 LEAGUE SB",TIE,0,12,12,0,12,12,NEWBRIDGE,1
DOWN,MAYO,10/02/2002,"NFL, DIV 1 LEAGUE SB",LOSS,0,5,5,0,10,10,BALLINA,1
GALWAY,TYRONE,10/02/2002,"NFL, DIV 1 LEAGUE SA",LOSS,0,9,9,1,8,11,BALLINASLOE,1
WICKLOW,ARMAGH,10/02/2002,"NFL, DIV 2 LEAGUE SA",LOSS,0,13,13,2,10,16,AUGHRIM,2
LEITRIM,KERRY,10/02/2002,"NFL, DIV 2 LEAGUE SA",LOSS,0,9,9,2,12,18,KEENAGH,2
LONDON,LOUTH,10/02/2002,"NFL, DIV 2 LEAGUE SA",LOSS,0,1,1,2,19,25,CASTLEBELLINGHAM,2
LIMERICK,ANTRIM,10/02/2002,"NFL, DIV 2 LEAGUE SA",WIN,2,11,17,1,11,14,CASEMENT PARK,2
LAOIS,MEATH,10/02/2002,"NFL, DIV 2 LEAGUE SB",WIN,0,12,12,0,9,9,UNKNOWN,2
CARLOW,MONAGHAN,10/02/2002,"NFL, DIV 2 LEAGUE SB",LOSS,1,7,10,0,11,11,DR CULLEN PARK,2
WATERFORD,TIPPERARY,10/02/2002,"NFL, DIV 2 LEAGUE SB",LOSS,1,10,13,1,17,20,ARDFINNAN,2
LONGFORD,WEXFORD,10/02/2002,"NFL, DIV 2 LEAGUE SB",LOSS,2,9,15,2,10,16,ENNISCORTHY,2
FERMANAGH,CAVAN,17/02/2002,"NFL, DIV 1 LEAGUE SB",LOSS,0,14,14,0,16,16,BREFFNI PARK,1
OFFALY,DONEGAL,17/02/2002,"NFL, DIV 1 LEAGUE SA",LOSS,0,13,13,0,16,16,TULLAMORE,1
WESTMEATH,GALWAY,17/02/2002,"NFL, DIV 1 LEAGUE SA",LOSS,0,13,13,3,12,21,MULLINGAR,1
KILDARE,DERRY,17/02/2002,"NFL, DIV 1 LEAGUE SB",WIN,1,15,18,1,11,14,NEWBRIDGE,1
CLARE,MAYO,17/02/2002,"NFL, DIV 1 LEAGUE SB",LOSS,1,6,9,2,19,25,"CUSACK PARK, ENNIS",1
ROSCOMMON,CORK,17/02/2002,"NFL, DIV 1 LEAGUE SA",WIN,1,9,12,0,10,10,PAIRC UI CHAOIMH,1
SLIGO,DOWN,17/02/2002,"NFL, DIV 1 LEAGUE SB",WIN,0,11,11,0,10,10,MARKIEVICZ PARK,1
TYRONE,DUBLIN,17/02/2002,"NFL, DIV 1 LEAGUE SA",WIN,0,18,18,2,10,16,DUNGANNON,1
LEITRIM,ARMAGH,17/02/2002,"NFL, DIV 2 LEAGUE SA",LOSS,0,9,9,3,16,25,CARRICK CRUPPEN,2
ANTRIM,KERRY,17/02/2002,"NFL, DIV 2 LEAGUE SA",LOSS,0,7,7,0,14,14,TRALEE,2
WICKLOW,LOUTH,17/02/2002,"NFL, DIV 2 LEAGUE SA",LOSS,0,12,12,2,18,24,DROGHEDA,2
LONDON,LIMERICK,17/02/2002,"NFL, DIV 2 LEAGUE SA",LOSS,0,10,10,3,22,31,MITCHAM,2
